contourAvgLength,contourCountLSD,contourLengthLSD,contourAvgLengthLSD
38.07692308,28,19660,702.1428571
50,18,8188,454.8888889
45.80769231,20,8928,446.4
41.20833333,27,17013,630.1111111
38.8125,19,9491,499.5263158
49.58333333,15,7306,487.0666667
49.125,17,8358,491.6470588
50.41666667,15,6859,457.2666667
34.15625,18,9076,504.2222222
39.90322581,16,6912,432
56.84848485,360,2999906,8333.072222
59.52173913,354,2698643,7623.285311
56.13846154,325,2459140,7566.584615
50.95384615,338,2522833,7464.002959
56.13846154,329,2392447,7271.87538
53.01428571,320,2161890,6755.90625
53.3220339,313,2100387,6710.501597
58.37804878,314,2198588,7001.872611
59.36363636,289,1905773,6594.370242
52.53731343,273,1706917,6252.443223
62.94444444,200,1035452,5177.26
62.94444444,200,1035452,5177.26
62.94444444,200,1035452,5177.26
62.94444444,200,1035452,5177.26
62.94444444,200,1035452,5177.26
62.94444444,200,1035452,5177.26
62.94444444,200,1035452,5177.26
62.94444444,200,1035452,5177.26
62.94444444,200,1035452,5177.26
62.94444444,200,1035452,5177.26
35.37931034,29,17739,611.6896552
35.10714286,19,9135,480.7894737
42.24,20,10531,526.55
36.30434783,40,37588,939.7
35.91428571,36,30103,836.1944444
40.80645161,25,13288,531.52
42.725,36,30205,839.0277778
40.1,23,15339,666.9130435
38.0625,10,4308,430.8
34.65714286,9,3922,435.7777778
52.19230769,183,841346,4597.519126
45.71428571,183,819515,4478.224044
45.82758621,172,685162,3983.5
44.04,204,893729,4381.02451
44.06896552,189,833059,4407.719577
51.94117647,141,502424,3563.29078
46.14285714,166,613424,3695.325301
43.5625,146,510172,3494.328767
44.68181818,153,513089,3353.522876
41.95238095,169,584765,3460.147929
48.43636364,107,228149,2132.233645
52.31372549,133,353408,2657.203008
54.11320755,134,382333,2853.231343
43.58823529,59,59828,1014.033898
47.85,104,194440,1869.615385
50.12727273,93,163148,1754.27957
65.59574468,125,343565,2748.52
55.3968254,180,691725,3842.916667
60.25454545,142,376399,2650.697183
57.25,133,363643,2734.157895
33.4,10,3690,369
35.55555556,11,3935,357.7272727
32.27272727,9,3447,383
33.92307692,13,4398,338.3076923
37.63636364,15,5125,341.6666667
38.69230769,12,4170,347.5
38.91666667,11,4036,366.9090909
37.8,10,3717,371.7
41.625,10,3693,369.3
31.42857143,11,3983,362.0909091
52.33333333,14,11910,850.7142857
39.16666667,13,8812,677.8461538
49.5,26,15621,600.8076923
48.5,31,20840,672.2580645
36.125,45,33198,737.7333333
47.75,31,19179,618.6774194
66,14,5881,420.0714286
116,16,7775,485.9375
51.33333333,17,10554,620.8235294
41.5,22,13011,591.4090909
36.5443038,50,64616,1292.32
38.68055556,49,53138,1084.44898
37.1011236,37,34415,930.1351351
55.76811594,49,43956,897.0612245
53.68918919,44,49921,1134.568182
43.43076923,54,80075,1482.87037
40.02597403,59,79164,1341.762712
59.27777778,59,70400,1193.220339
50.25882353,41,37640,918.0487805
43.67948718,52,73228,1408.230769
40.29310345,37,31549,852.6756757
42.85714286,53,53988,1018.641509
50.35820896,41,36433,888.6097561
40.30337079,35,26548,758.5142857
41.87962963,31,20597,664.4193548
43.71551724,38,32598,857.8421053
39.58536585,22,12678,576.2727273
39.79661017,24,12701,529.2083333
37.35433071,22,11024,501.0909091
41.25,38,31789,836.5526316
38.01785714,121,316541,2616.041322
39.35616438,138,391948,2840.202899
43.31147541,134,412363,3077.335821
44.20833333,161,540300,3355.900621
47.88235294,75,102694,1369.253333
47.6,119,287792,2418.420168
38.1025641,130,360607,2773.9
45.825,87,160071,1839.896552
33.91428571,105,234356,2231.961905
34,112,279354,2494.232143
49.1,195,842953,4322.835897
49,200,932808,4664.04
47.39655172,230,1255634,5459.278261
63.65384615,238,1289066,5416.243697
69.54098361,205,929933,4536.258537
83.49056604,213,1027803,4825.366197
70.03636364,239,1268415,5307.175732
54.70588235,250,1472744,5890.976
51,249,1386176,5566.971888
51.93877551,188,817393,4347.835106
58.51546392,79,127672,1616.101266
68.68103448,55,63156,1148.290909
66.65811966,113,220828,1954.230088
49,35,27688,791.0857143
56.34042553,31,25840,833.5483871
58.90196078,38,34868,917.5789474
53.50961538,48,62205,1295.9375
48.40151515,37,28703,775.7567568
65.22330097,57,67427,1182.929825
69.59292035,100,226118,2261.18
48.56923077,37,35335,955
52.546875,36,33091,919.1944444
39.71428571,64,89131,1392.671875
48.51086957,109,240662,2207.908257
50.88679245,73,95479,1307.931507
52.33333333,124,317657,2561.75
54.8125,92,197851,2150.554348
62.07142857,101,226441,2241.990099
52.69736842,62,79358,1279.967742
48.375,63,95783,1520.365079
55.7804878,147,423083,2878.115646
51.97222222,174,591175,3397.557471
44.40983607,169,524965,3106.301775
44.42222222,173,614005,3549.16185
53.7037037,159,463494,2915.056604
48.67241379,131,343080,2618.931298
52.88,163,524906,3220.282209
64.09090909,183,611420,3341.092896
51.40816327,165,517096,3133.915152
68.64102564,120,267223,2226.858333
38.5,131,317613,2424.526718
32.36,152,424204,2790.815789
39.33333333,163,451035,2767.08589
38.65853659,183,611330,3340.601093
33.51515152,158,424420,2686.202532
35.79310345,153,434470,2839.673203
33.5862069,161,447657,2780.478261
31.72222222,178,581037,3264.252809
36.95,163,491795,3017.147239
35.35135135,168,502911,2993.517857
47.09090909,357,2958735,8287.773109
39.39344262,372,2913577,7832.196237
47.77272727,384,2981256,7763.6875
48.16949153,344,2385272,6933.930233
50.78461538,368,2842005,7722.839674
48.29230769,373,3079057,8254.844504
46.24242424,362,2903594,8020.977901
51.79661017,351,2908937,8287.569801
43.9375,346,2527836,7305.884393
44.81818182,342,2550370,7457.222222
101.503937,161,544573,3382.440994
105.6821705,128,372181,2907.664063
94.10273973,107,239161,2235.149533
86.95364238,92,178771,1943.163043
87.69767442,85,163423,1922.623529
75.32758621,108,249516,2310.333333
75.28658537,91,189574,2083.230769
72.59649123,94,190061,2021.925532
83.12738854,85,163467,1923.141176
96.20138889,114,275284,2414.77193
40,33,21903,663.7272727
36,46,42052,914.173913
31.28571429,41,34521,841.9756098
36.58333333,31,21402,690.3870968
38.85714286,22,11691,531.4090909
36.92307692,30,19232,641.0666667
41.54545455,32,23117,722.40625
41.93333333,38,26940,708.9473684
36.3125,30,19279,642.6333333
34.53333333,35,27144,775.5428571
43,31,20002,645.2258065
